id,canton_id/id,code,name
parish_1,canton_1,90101,AYACUCHO
parish_2,canton_1,90102,BOLÍVAR (SAGRARIO)
parish_3,canton_1,90103,CARBO (CONCEPCIÓN)
parish_4,canton_1,90104,FEBRES CORDERO
parish_5,canton_1,90105,GARCÍA MORENO
parish_6,canton_1,90106,LETAMENDI
parish_7,canton_1,90107,NUEVE DE OCTUBRE
parish_8,canton_1,90108,OLMEDO (SAN ALEJO)
parish_9,canton_1,90109,ROCA
parish_10,canton_1,90110,ROCAFUERTE
parish_11,canton_1,90111,SUCRE
parish_12,canton_1,90112,TARQUI
parish_13,canton_1,90113,URDANETA
parish_14,canton_1,90114,XIMENA
parish_15,canton_1,90115,PASCUALES
parish_16,canton_1,90150,GUAYAQUIL
parish_17,canton_1,90151,CHONGÓN
parish_18,canton_1,90152,JUAN GOMEZ RENDÓN (PROGRESO)
parish_19,canton_1,90153,MORRO
parish_20,canton_1,90154,PASCUALES
parish_21,canton_1,90155,PLAYAS (GENERAL VILLAMIL)
parish_22,canton_1,90156,POSORJA
parish_23,canton_1,90157,PUNA
parish_24,canton_1,90158,TENGUEL